Month_Year,total_sales,total_profit,total_orders,total_quantity,avg_discount,profit_margin,average_order_value,sales_growth_pct,profit_growth_pct
2014-01,14236.895,2450.1906999999997,32,284,0.12658227848101267,0.17210147999265285,444.90296875,,
2014-02,4519.892,862.3084,28,159,0.1760869565217391,0.19078075316843854,161.4247142857143,-68.25226287052058,-64.80647812433537
2014-03,55691.009,498.72989999999777,71,585,0.167515923566879,0.008955303718774385,784.3804084507042,1132.1314093345593,-42.163395369916636
2014-04,28295.345,3488.8352,66,536,0.11,0.12330067719619604,428.7173484848485,-49.192256509484324,599.5440217239864
2014-05,23648.287,2738.7096,69,466,0.155327868852459,0.1158100626907987,342.7287971014493,-16.42340109300664,-21.50074615160956
2014-06,34595.1276,4976.524399999999,66,521,0.172,0.14385044210676648,524.1686,46.290205290556564,81.71055448887313
2014-07,33946.393,-841.4826000000024,65,550,0.17167832167832167,-0.024788571793179986,522.2521999999999,-1.8752195612656286,-116.90904198118676
2014-08,27909.4685,5318.105,72,609,0.13104575163398693,0.19054841549562293,387.6315069444444,-17.78369943457615,-731.9922717356229
2014-09,81777.3508,8328.099399999996,130,1000,0.1599626865671642,0.10183870373066665,629.0565446153846,193.0093448393688,56.59900284029737
2014-10,31453.393,3448.257299999999,78,573,0.160062893081761,0.10963069389683965,403.2486282051282,-61.53776969747472,-58.594907020442136
2014-11,78628.7167,9292.126899999997,151,1219,0.15116352201257863,0.11817726766994274,520.7199781456954,149.98484805756885,169.4731306738624
2014-12,69545.6205,8983.569899999999,141,1079,0.19082733812949643,0.1291752066544578,493.23135106382983,-11.551881527782836,-3.3206283482848153
2015-01,18174.0756,-3281.007000000001,29,236,0.17793103448275863,-0.1805322632200342,626.6922620689655,-73.867404634056,-136.52230724002047
2015-02,11951.411,2813.8507999999997,36,239,0.1296875,0.23544088643591954,331.9836388888889,-34.239235804653525,-185.76180422656822
2015-03,38726.252,9732.097799999998,79,515,0.1401449275362319,0.2513049235954979,490.20572151898733,224.0307943555786,245.86403088607253
2015-04,34195.2085,4187.496199999999,72,543,0.17593750000000002,0.12245856608828685,474.9334513888889,-11.700185961708865,-56.9723169037615
2015-05,30131.6865,4667.868999999999,74,575,0.1660958904109589,0.15491562345838156,407.1849527027027,-11.883308154123407,11.471599663779998
2015-06,24797.292,3335.5571999999997,68,486,0.17246376811594202,0.13451296214118863,364.66605882352945,-17.70360414442782,-28.542184881366627
2015-07,28765.325,3288.648299999999,66,557,0.17035714285714287,0.11432682578764533,435.8382575757576,16.00188036661423,-1.4063287537086966
